CVE,Severity,Year,Month,Affected Versions
CVE-2021-36989,Medium,2021,10,"EMUI 10.1.0,  EMUI 10.0.0,   Magic UI 3.1.0,  Magic UI 3.0.0"
CVE-2021-36986,Medium,2021,10,"EMUI 10.1.0,  EMUI 10.0.0,   Magic UI 3.1.0,  Magic UI 3.0.0"
CVE-2021-36985,Medium,2021,10,"EMUI 10.1.0,  EMUI 10.0.0,   Magic UI 3.1.0,  Magic UI 3.0.0"
CVE-2021-3506,High,2021,10,"EMUI 10.1.0,  EMUI 10.0.0,   Magic UI 3.1.0,  Magic UI 3.0.0"
CVE-2021-22491,Medium,2021,10,"EMUI 10.1.0,  EMUI 10.0.0,  EMUI 9.1.1,  EMUI 9.1.0,  Magic UI 3.1.0,  Magic UI 3.0.0,  Magic UI 2.1.1"
CVE-2021-22489,Medium,2021,10,"EMUI 10.1.0,  EMUI 10.0.0,  EMUI 9.1.1,  EMUI 9.1.0,  Magic UI 3.1.0,  Magic UI 3.0.0,  Magic UI 2.1.1"
CVE-2021-22488,Medium,2021,10,"EMUI 11.0.1,  EMUI 10.1.0,  EMUI 10.0.0,  EMUI 9.1.1,  EMUI 9.1.0,  Magic UI 3.1.0,  Magic UI 3.0.0,  Magic UI 2.1.1"
CVE-2021-22485,Medium,2021,10,"EMUI 10.1.0,  EMUI 10.0.0,  EMUI 9.1.1,  EMUI 9.1.0,  Magic UI 3.1.0,  Magic UI 3.0.0,  Magic UI 2.1.1"
CVE-2021-22481,Medium,2021,10,"EMUI 10.1.0,  EMUI 10.0.0,  EMUI 9.1.1,  EMUI 9.1.0,  Magic UI 3.1.0,  Magic UI 3.0.0,  Magic UI 2.1.1"
CVE-2021-22475,Medium,2021,10,"EMUI 10.1.0,  EMUI 10.0.0,  EMUI 9.1.1,  EMUI 9.1.0,  Magic UI 3.1.0,  Magic UI 3.0.0,  Magic UI 2.1.1"
CVE-2021-22469,Medium,2021,10,"EMUI 10.1.0,  Magic UI 3.1.0"
CVE-2021-22460,Medium,2021,10,"EMUI 10.1.0,  Magic UI 3.1.0"
CVE-2021-22455,Medium,2021,10,"EMUI 10.1.0,  EMUI 10.0.0,  Magic UI 3.1.0,  Magic UI 3.0.0"
CVE-2021-22420,High,2021,10,"EMUI 9.1.1,  EMUI 9.1.0,  Magic UI 2.1.1"
CVE-2021-22374,Medium,2021,10,"EMUI 10.1.0,  EMUI 10.0.0,  EMUI 9.1.1,  EMUI 9.1.0,  Magic UI 3.1.0,  Magic UI 3.0.0,  Magic UI 2.1.1"
CVE-2021-22370,High,2021,10,"EMUI 10.1.0,  EMUI 10.0.0,  EMUI 9.1.1,  EMUI 9.1.0,  Magic UI 3.1.0,  Magic UI 3.0.0,  Magic UI 2.1.1"
CVE-2021-22345,Medium,2021,10,"EMUI 11.0.0,  EMUI 10.1.1,  EMUI 10.1.0,  EMUI 10.0.0,  Magic UI 4.0.0,  Magic UI 3.1.1,  Magic UI 3.1.0,  Magic UI 3.0.0"
CVE-2021-37120,High,2021,10,"EMUI 10.1.1,  EMUI 10.1.0,  Magic UI 3.1.1,  Magic UI 3.1.0"
CVE-2021-37121,Medium,2021,10,"EMUI 10.1.0,  EMUI 10.0.0,  Magic UI 3.1.0,  Magic UI 3.0.0"
CVE-2021-22319,Medium,2021,10,"EMUI 11.0.1,  EMUI 11.0.0,  EMUI 10.1.1,  EMUI 10.1.0,  Magic UI 4.0.0,  Magic UI 3.1.1,  Magic UI 3.1.0"
CVE-2021-37118,Medium,2021,11,"EMUI 10.0.0, EMUI 10.1.0, EMUI 10.1.1, EMUI 11.0.0, EMUI 9.1.0, EMUI 9.1.1, Magic UI 2.1.1, Magic UI 3.0.0, Magic UI 3.1.0, Magic UI 3.1.1, Magic UI 4.0.0"
