filename,first_12_bytes,spl,identifier,firmware_name,os_version,android_version,patch_type
CPH2001PUEX_11_A.13_OTA_0130_all_202001101543.ozip,OPPOENCRYPT!,2020-01-05,205.0,,,,
CPH2001PUEX_11_OTA_0230_all_wd3UBfMiP2m3.ozip,OPPOENCRYPT!,2020-02-05,206.0,,,,
CPH2095PU_11_OTA_0270_all_7jx5lVacNdI5.ozip,PK,,207.0,,,,
CPH1801EX_11_OTA_0270_all_PWXhmQMB2Uwu.ozip,PK,,208.0,,,,
CPH1909EX_11_OTA_0300_all_KAwBeAdRpb0F.ozip,PK,,209.0,,,,
CPH1909EX_11_OTA_0350_all_IcMY0RIzZNXj.ozip,PK,,210.0,,,,
CPH1931EX_11_OTA_1690_all_KbtqZAEDhvh1.ozip,PK,,211.0,,,,
CPH1931EX_11_OTA_1710_all_zk40y0MNtEUR.ozip,PK,,212.0,,,,
CPH1931EX_11_OTA_1760_all_654R1z3D5vc6.ozip,PK,,213.0,,,,
CPH1969EX_11_OTA_0420_all_0Yeazk8Fy5qm.ozip,OPPOENCRYPT!,2020-02-05,214.0,,,,
CPH1938EX_11_OTA_0450_all_hNIPHOqYui9L.ozip,OPPOENCRYPT!,2020-06-05,215.0,,,,
CPH1938EX_11_OTA_0460_all_kgcxYfhfSOOW.ozip,OPPOENCRYPT!,2020-07-05,216.0,,,,
CPH1969EX_11_OTA_1320_all_gv71XgHlzxSf.ozip,OPPOENCRYPT!,2020-10-05,217.0,,,,
CPH1969EX_11_OTA_1370_all_LAVp7H1v1NGI.ozip,OPPOENCRYPT!,2021-06-05,218.0,,,,
CPH2001PUEX_11_OTA_0390_all_b5LQJchf9GCP.ozip,PK,,219.0,,,,
CPH2127PU_11_OTA_0230_all_H4ZpXPZlhLkr.ozip,PK,,220.0,,,,
CPH2083PUEX_11_OTA_0570_all_Ie7UBMpfCDrL.ozip,PK,,221.0,,,,
CPH2179PU_11_OTA_0070_all_hEdsvXDXYPKa.ozip,PK,,222.0,,,,
CPH1919EX_11_OTA_0150_all_ERWYCMqx4bSt.ozip,OPPOENCRYPT!,2019-11-05,223.0,,,,
CPH1919EX_11_OTA_0200_all_9RJTMdBIoIjS.ozip,OPPOENCRYPT!,2020-04-05,224.0,,,,
CPH1919EX_11_OTA_1290_all_1V0pikMzkEcI.ozip,OPPOENCRYPT!,2020-08-05,225.0,,,,
CPH1945EX_11_OTA_0090_all_Luy34TCxFlJx.ozip,OPPOENCRYPT!,2019-09-05,226.0,,,,
CPH1945EX_11_OTA_0120_all_OXyTVZZu8pJA.ozip,OPPOENCRYPT!,2019-10-05,227.0,,,,
CPH1945PUEX_11_OTA_1350_all_R2DkVfABat4K.ozip,OPPOENCRYPT!,2020-08-05,228.0,,,,
CPH1989EX_11_OTA_1120_all_6tSzpxdVXzHU.ozip,OPPOENCRYPT!,2020-07-05,229.0,,,,
CPH1989EX_11_OTA_1160_all_Noj7nmRJ8sDA.ozip,OPPOENCRYPT!,2020-10-05,230.0,,,,
CPH1989EX_11_OTA_1180_all_h7seC1a6okk8.ozip,OPPOENCRYPT!,2021-01-05,231.0,,,,
CPH1907PUEX_11_OTA_0410_all_vOq3GHlUmq1X.ozip,OPPOENCRYPT!,2020-06-05,232.0,,,,
CPH1907PUEX_11_OTA_1350_all_Xs33tLswEruE.ozip,OPPOENCRYPT!,2020-08-05,233.0,,,,
CPH1871EX_11_OTA_1140_all_lMb9nqltt5B1_local.ozip,OPPOENCRYPT!,2019-10-05,234.0,,,,
CPH2023PU_11_OTA_0670_all_4rcM6xypDUtB.ozip,OPPOENCRYPT!,2020-05-05,235.0,,,,
CPH2023PU_11_OTA_0730_all_4b9m0wV9ioC8.ozip,OPPOENCRYPT!,2020-06-05,236.0,,,,
CPH2023PU_11_OTA_0790_all_P08xy9ikPg81.ozip,OPPOENCRYPT!,2020-07-05,237.0,,,,
CPH1919EX_11_OTA_0110_all_JPm1xztqBeum.ozip,OPPOENCRYPT!,2019-07-05,238.0,,,,
CPH1877EX_11_OTA_1230_all_KLdTOjFL7QHE.ozip,OPPOENCRYPT!,2019-12-05,239.0,,,,
A1601EX_11_OTA_039_all_201904292349.zip,PK,,240.0,,,,
CPH1727_11_A.18_OTA_0180_all_201801171019.ozip,OPPOENCRYPT!,,241.0,,,,
CPH2001PUEX_11_OTA_0350_all_vMY7f8a9QqUH.ozip,OPPOENCRYPT!,2020-06-05,242.0,,,,
CPH2119PU_11_OTA_0150_all_irTNNoJDnARm.ozip,OPPOENCRYPT!,2020-09-05,243.0,,,,
