CVE,Year,Month,Severity
CVE-2021-0446,2021,April,High
CVE-2021-0431,2021,April,High
CVE-2021-0435,2021,April,High
CVE-2021-0445,2021,April,High
CVE-2021-0468,2021,April,High
CVE-2020-11234,2021,April,High
CVE-2020-11191,2021,April,High
CVE-2020-11236,2021,April,High
CVE-2020-11237,2021,April,High
CVE-2020-11242,2021,April,High
CVE-2020-11243,2021,April,High
CVE-2020-11245,2021,April,High
CVE-2020-11246,2021,April,High
CVE-2020-11247,2021,April,High
CVE-2020-11251,2021,April,High
CVE-2020-11252,2021,April,High
CVE-2020-11255,2021,April,High
CVE-2020-15436,2021,April,High
CVE-2020-25705,2021,April,High
CVE-2020-0002,2020,January,Critical
CVE-2019-17666,2020,January,Critical
CVE-2020-0001,2020,January,High
CVE-2020-0003,2020,January,High
CVE-2020-0004,2020,January,High
CVE-2020-0006,2020,January,High
CVE-2020-0007,2020,January,High
CVE-2020-0008,2020,January,High
CVE-2018-20856,2020,January,High
CVE-2019-15214,2020,January,High
CVE-2020-0009,2020,January,High
CVE-2018-11843,2020,January,High
CVE-2019-10558,2020,January,High
CVE-2019-10581,2020,January,High
CVE-2019-10585,2020,January,High
CVE-2019-10602,2020,January,High
CVE-2019-10606,2020,January,High
CVE-2019-14010,2020,January,High
CVE-2019-14023,2020,January,High
CVE-2019-14024,2020,January,High
CVE-2019-14034,2020,January,High
CVE-2019-14036,2020,January,High
CVE-2019-2267,2020,January,High
CVE-2019-10548,2020,January,High
CVE-2019-10532,2020,January,High
CVE-2019-10578,2020,January,High
CVE-2019-10579,2020,January,High
CVE-2019-10582,2020,January,High
CVE-2019-10583,2020,January,High
CVE-2019-10611,2020,January,High
CVE-2019-14002,2020,January,High
CVE-2019-14003,2020,January,High
CVE-2019-14004,2020,January,High
CVE-2019-14005,2020,January,High
CVE-2019-14006,2020,January,High
CVE-2019-14008,2020,January,High
CVE-2019-14013,2020,January,High
CVE-2019-14014,2020,January,High
CVE-2019-14016,2020,January,High
CVE-2019-14017,2020,January,High
CVE-2020-0023,2020,February,Critical
CVE-2020-0014,2020,February,High
CVE-2020-0015,2020,February,High
CVE-2019-2200,2020,February,High
CVE-2020-0017,2020,February,High
CVE-2020-0018,2020,February,High
CVE-2020-0020,2020,February,High
CVE-2020-0021,2020,February,High
CVE-2020-0005,2020,February,High
CVE-2020-0026,2020,February,High
CVE-2020-0027,2020,February,High
CVE-2020-0028,2020,February,High
CVE-2020-0030,2020,February,High
CVE-2019-11599,2020,February,High
CVE-2019-14044,2020,February,High
CVE-2019-14046,2020,February,High
CVE-2019-14049,2020,February,High
CVE-2019-14055,2020,February,High
CVE-2019-14063,2020,February,High
CVE-2019-10567,2020,February,High
CVE-2019-10590,2020,February,High
CVE-2019-14051,2020,February,High
CVE-2019-14057,2020,February,High
CVE-2019-14060,2020,February,High
CVE-2020-0022,2020,February,Moderate
CVE-2020-0032,2020,March,Critical
CVE-2019-2317,2020,March,Critical
CVE-2019-10586,2020,March,Critical
CVE-2019-10587,2020,March,Critical
CVE-2019-10593,2020,March,Critical
CVE-2019-10594,2020,March,Critical
CVE-2019-10612,2020,March,Critical
CVE-2019-14031,2020,March,Critical
CVE-2019-14045,2020,March,Critical
CVE-2019-14071,2020,March,Critical
CVE-2019-14083,2020,March,Critical
CVE-2019-14086,2020,March,Critical
CVE-2019-14030,2020,March,Critical
CVE-2019-14097,2020,March,Critical
CVE-2019-14098,2020,March,Critical
CVE-2019-10546,2020,March,Critical
CVE-2019-14095,2020,March,Critical
CVE-2020-0031,2020,March,High
CVE-2020-0033,2020,March,High
CVE-2020-0034,2020,March,High
CVE-2020-0036,2020,March,High
CVE-2020-0035,2020,March,High
CVE-2020-0029,2020,March,High
CVE-2020-0037,2020,March,High
CVE-2020-0038,2020,March,High
CVE-2020-0039,2020,March,High
CVE-2019-19527,2020,March,High
CVE-2019-19537,2020,March,High
CVE-2019-15239,2020,March,High
CVE-2020-0041,2020,March,High
CVE-2020-0069,2020,March,High
CVE-2019-14079,2020,March,High
CVE-2018-11838,2020,March,High
CVE-2019-10526,2020,March,High
CVE-2019-10569,2020,March,High
CVE-2019-14029,2020,March,High
CVE-2019-14032,2020,March,High
CVE-2019-14068,2020,March,High
CVE-2019-14072,2020,March,High
